bookID;;authors;average_rating;isbn;language_code;  num_pages;ratings_count;text_reviews_count;publication_date;publisher;review_sentences;has_spoiler;Genre
1;Harry Potter and the Half-Blood Prince (Harry Potter  #6);J.K. Rowling/Mary GrandPré;4.57;439785960;eng;652;2095690;27591;9/16/2006;Scholastic Inc.;[[0, 'One of the best books in the series I think.']];FALSE;{'fantasy, paranormal': 42143, 'young-adult': 14393, 'fiction': 11308, 'children': 6907, 'mystery, thriller, crime': 467, 'romance': 340}
2;Harry Potter and the Order of the Phoenix (Harry Potter  #5);J.K. Rowling/Mary GrandPré;4.49;439358078;eng;870;2153167;29221;09/01/2004;Scholastic Inc.;[[0, 'After the first read, this book is the worst one in the Harry Potter series.'], [0, 'Characters are not as likeable as they are in the other books.'], [0, 'However, I recently reread it (after reading book 6), and found it to be a very good read.']];FALSE;{'fantasy, paranormal': 8249, 'children': 4168, 'fiction': 2807, 'young-adult': 3157, 'mystery, thriller, crime': 451, 'romance': 214}
4;Harry Potter and the Chamber of Secrets (Harry Potter  #2);J.K. Rowling;4.42;439554896;eng;352;6333;244;11/01/2003;Scholastic;#N/A;#N/A;#N/A
5;Harry Potter and the Prisoner of Azkaban (Harry Potter  #3);J.K. Rowling/Mary GrandPré;4.56;43965548;eng;435;2339585;36325;05/01/2004;Scholastic Inc.;"[[0, ""This one definitely wasn't as good as the second one.""], [0, 'Not much happened, really.']]";FALSE;#N/A
8;Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5);J.K. Rowling/Mary GrandPré;4.78;439682584;eng;2690;41428;164;9/13/2004;Scholastic;#N/A;#N/A;{'fantasy, paranormal': 133, 'young-adult': 41, 'fiction': 32, 'children': 26, 'mystery, thriller, crime': 6}
9;"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation";;3.74;976540606;en-US;152;19;1;4/26/2005;Nimble Books;#N/A;#N/A;#N/A
10;Harry Potter Collection (Harry Potter  #1-6);J.K. Rowling;4.73;439827604;eng;3342;28242;808;09/12/2005;Scholastic;#N/A;#N/A;{'fantasy, paranormal': 295, 'fiction': 99, 'young-adult': 94, 'children': 65, 'mystery, thriller, crime': 3}
12;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4.38;517226952;eng;815;3628;254;11/01/2005;Gramercy Books;#N/A;#N/A;{'fiction': 4940, 'fantasy, paranormal': 1818, 'young-adult': 53}
13;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4.38;345453743;eng;815;249558;4080;4/30/2002;Del Rey Books;#N/A;#N/A;{'fiction': 4940, 'fantasy, paranormal': 1818, 'young-adult': 53}
14;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams;4.22;1400052920;eng;215;4930;460;08/03/2004;Crown;#N/A;#N/A;{'fiction': 19411, 'fantasy, paranormal': 6599, 'young-adult': 315}
16;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1);Douglas Adams/Stephen Fry;4.22;739322206;eng;6;1266;253;3/23/2005;Random House Audio;#N/A;#N/A;{'fiction': 19411, 'fantasy, paranormal': 6599, 'young-adult': 315}
18;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5);Douglas Adams;4.38;517149257;eng;815;2877;195;1/17/1996;Wings Books;#N/A;#N/A;{'fiction': 4940, 'fantasy, paranormal': 1818, 'young-adult': 53}
21;A Short History of Nearly Everything;Bill Bryson;4.21;76790818;eng;544;248558;9396;9/14/2004;Broadway Books;#N/A;#N/A;#N/A
22;Bill Bryson's African Diary;Bill Bryson;3.44;767915062;eng;55;7270;499;12/03/2002;Broadway Books;#N/A;#N/A;#N/A
23;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right;Bill Bryson;3.87;767910435;eng;256;2088;131;9/14/2004;9/14/2004;#N/A;#N/A;#N/A
24;In a Sunburned Country;Bill Bryson;4.07;767903862;eng;335;72451;4245;5/15/2001;Broadway Books;#N/A;#N/A;#N/A
25;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away;Bill Bryson;3.90;76790382;eng;304;49240;2211;6/28/2000;Broadway Books;#N/A;#N/A;#N/A
26;The Lost Continent: Travels in Small Town America;Bill Bryson;3.83;60920084;eng;299;45712;2257;8/28/1990;William Morrow Paperbacks;#N/A;#N/A;#N/A
27;Neither Here nor There: Travels in Europe;Bill Bryson;3.86;380713802;eng;254;48701;2238;3/28/1993;William Morrow Paperbacks;#N/A;#N/A;{'non-fiction': 1540, 'history, historical fiction, biography': 146, 'fiction': 16}
28;Notes from a Small Island;Bill Bryson;3.91;380727501;eng;324;80609;3301;5/28/1997;William Morrow Paperbacks;#N/A;#N/A;#N/A
29;The Mother Tongue: English and How It Got That Way;Bill Bryson;3.93;380715430;eng;270;28489;2085;9/28/1991;William Morrow Paperbacks;#N/A;#N/A;#N/A
